0.18932,0.18866,0.18664,0.18318,0.17814,0.17142,0.16298,0.15287,0.14127,0.12848,0.11489,0.10094,0.087084,0.073756,0.061316,0.050031,0.061316,0.073756,0.087084,0.10094,0.11489,0.12848,0.14127,0.15287,0.16298,0.17142,0.17814,0.18318,0.18664,0.18866
0.17142,0.17066,0.16837,0.16452,0.15909,0.15209,0.14358,0.13369,0.12266,0.11078,0.098419,0.085951,0.073756,0.062171,0.051468,0.041844,0.051468,0.062171,0.073756,0.085951,0.098419,0.11078,0.12266,0.13369,0.14358,0.15209,0.15909,0.16452,0.16837,0.17066
0.15054,0.14976,0.14743,0.14358,0.13822,0.13145,0.12338,0.1142,0.10415,0.093519,0.082624,0.071788,0.061316,0.051468,0.04245,0.034401,0.04245,0.051468,0.061316,0.071788,0.082624,0.093519,0.10415,0.1142,0.12338,0.13145,0.13822,0.14358,0.14743,0.14976
0.12848,0.12775,0.12555,0.12194,0.11698,0.11078,0.1035,0.095334,0.086516,0.077308,0.067985,0.058812,0.050031,0.041844,0.034401,0.027799,0.034401,0.041844,0.050031,0.058812,0.067985,0.077308,0.086516,0.095334,0.1035,0.11078,0.11698,0.12194,0.12555,0.12775
0.15054,0.14976,0.14743,0.14358,0.13822,0.13145,0.12338,0.1142,0.10415,0.093519,0.082624,0.071788,0.061316,0.051468,0.04245,0.034401,0.04245,0.051468,0.061316,0.071788,0.082624,0.093519,0.10415,0.1142,0.12338,0.13145,0.13822,0.14358,0.14743,0.14976
0.17142,0.17066,0.16837,0.16452,0.15909,0.15209,0.14358,0.13369,0.12266,0.11078,0.098419,0.085951,0.073756,0.062171,0.051468,0.041844,0.051468,0.062171,0.073756,0.085951,0.098419,0.11078,0.12266,0.13369,0.14358,0.15209,0.15909,0.16452,0.16837,0.17066
0.18932,0.18866,0.18664,0.18318,0.17814,0.17142,0.16298,0.15287,0.14127,0.12848,0.11489,0.10094,0.087084,0.073756,0.061316,0.050031,0.061316,0.073756,0.087084,0.10094,0.11489,0.12848,0.14127,0.15287,0.16298,0.17142,0.17814,0.18318,0.18664,0.18866
0.20229,0.20183,0.2004,0.19779,0.19375,0.18799,0.18032,0.17066,0.15909,0.14589,0.13145,0.11628,0.10094,0.085951,0.071788,0.058812,0.071788,0.085951,0.10094,0.11628,0.13145,0.14589,0.15909,0.17066,0.18032,0.18799,0.19375,0.19779,0.2004,0.20183
0.20848,0.20836,0.20787,0.2067,0.20437,0.2004,0.19435,0.18596,0.17518,0.1622,0.14743,0.13145,0.11489,0.098419,0.082624,0.067985,0.082624,0.098419,0.11489,0.13145,0.14743,0.1622,0.17518,0.18596,0.19435,0.2004,0.20437,0.2067,0.20787,0.20836
0.20644,0.20679,0.20765,0.20853,0.20873,0.20745,0.20398,0.19779,0.18866,0.17666,0.1622,0.14589,0.12848,0.11078,0.093519,0.077308,0.093519,0.11078,0.12848,0.14589,0.1622,0.17666,0.18866,0.19779,0.20398,0.20745,0.20873,0.20853,0.20765,0.20679
0.19542,0.19637,0.19897,0.20254,0.20607,0.20841,0.20848,0.20546,0.19887,0.18866,0.17518,0.15909,0.14127,0.12266,0.10415,0.086516,0.10415,0.12266,0.14127,0.15909,0.17518,0.18866,0.19887,0.20546,0.20848,0.20841,0.20607,0.20254,0.19897,0.19637
0.17561,0.17728,0.18199,0.1888,0.19637,0.20315,0.20765,0.20867,0.20546,0.19779,0.18596,0.17066,0.15287,0.13369,0.1142,0.095334,0.1142,0.13369,0.15287,0.17066,0.18596,0.19779,0.20546,0.20867,0.20765,0.20315,0.19637,0.1888,0.18199,0.17728
0.14831,0.1508,0.15786,0.16833,0.18047,0.19231,0.2019,0.20765,0.20848,0.20398,0.19435,0.18032,0.16298,0.14358,0.12338,0.1035,0.12338,0.14358,0.16298,0.18032,0.19435,0.20398,0.20848,0.20765,0.2019,0.19231,0.18047,0.16833,0.15786,0.1508
0.11593,0.11927,0.12881,0.14311,0.16008,0.17728,0.19231,0.20315,0.20841,0.20745,0.2004,0.18799,0.17142,0.15209,0.13145,0.11078,0.13145,0.15209,0.17142,0.18799,0.2004,0.20745,0.20841,0.20315,0.19231,0.17728,0.16008,0.14311,0.12881,0.11927
0.081759,0.085936,0.09788,0.11593,0.13762,0.16008,0.18047,0.19637,0.20607,0.20873,0.20437,0.19375,0.17814,0.15909,0.13822,0.11698,0.13822,0.15909,0.17814,0.19375,0.20437,0.20873,0.20607,0.19637,0.18047,0.16008,0.13762,0.11593,0.09788,0.085936
0.049606,0.054524,0.068618,0.090014,0.11593,0.14311,0.16833,0.1888,0.20254,0.20853,0.2067,0.19779,0.18318,0.16452,0.14358,0.12194,0.14358,0.16452,0.18318,0.19779,0.2067,0.20853,0.20254,0.1888,0.16833,0.14311,0.11593,0.090014,0.068618,0.054524
0.023274,0.028779,0.044574,0.068618,0.09788,0.12881,0.15786,0.18199,0.19897,0.20765,0.20787,0.2004,0.18664,0.16837,0.14743,0.12555,0.14743,0.16837,0.18664,0.2004,0.20787,0.20765,0.19897,0.18199,0.15786,0.12881,0.09788,0.068618,0.044574,0.028779
0.0060108,0.011892,0.028779,0.054524,0.085936,0.11927,0.1508,0.17728,0.19637,0.20679,0.20836,0.20183,0.18866,0.17066,0.14976,0.12775,0.14976,0.17066,0.18866,0.20183,0.20836,0.20679,0.19637,0.17728,0.1508,0.11927,0.085936,0.054524,0.028779,0.011892
